Waterbody,Species,Date,Sample.code,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Length,Abundance,Biomass
Montana Creek,Dolly Varden, 2021-05-14,10,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,7,1,1.204294056
Montana Creek,Dolly Varden, 2021-05-18,3,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2.5,1,0.019800744
Montana Creek,Dolly Varden, 2021-05-18,4,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,6,1,1.501247506
Montana Creek,Dolly Varden, 2021-05-18,4,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,2.5,1,0.070355545
Montana Creek,Dolly Varden, 2021-05-18,4,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,2.5,1,0.055076295
Montana Creek,Dolly Varden, 2021-05-18,4,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,5,3,1.063291995
Montana Creek,Dolly Varden, 2021-05-18,4,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2.5,2,0.147700985
Montana Creek,Dolly Varden, 2021-05-18,19,Salmonid eggs,E,Vertebrata,Marine,Vertebrata,x,x,x,6,1,41.98282412
Montana Creek,Dolly Varden, 2021-05-18,19,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,55,1,1.470745729
Montana Creek,Dolly Varden, 2021-05-18,19,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,25,1,0.82062513
Montana Creek,Dolly Varden, 2021-05-18,20,Pisces,E,Vertebrata,Marine.pisces,Vertebrata,x,x,x,21,2,84.96564825
Montana Creek,Dolly Varden, 2021-05-18,20,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,40,2,2.323932957
Montana Creek,Dolly Varden, 2021-05-18,20,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,25,2,1.641250259
Montana Creek,Dolly Varden, 2021-05-18,20,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Dolly Varden, 2021-05-18,22,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,5,1,0.477246969
Montana Creek,Dolly Varden, 2021-05-18,26,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,4,1,0.28374275
Montana Creek,Dolly Varden, 2021-05-18,26,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,6,1,0.578378468
Montana Creek,Dolly Varden, 2021-05-18,26,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,1,0.285232064
Montana Creek,Dolly Varden, 2021-05-18,26,Salmonid eggs,E,Vertebrata,Marine,Vertebrata,x,x,x,6,1,41.98282412
Montana Creek,Dolly Varden, 2021-05-21,7,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,11,1,3.786945489
Montana Creek,Dolly Varden, 2021-05-21,7,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.031907945
Montana Creek,Dolly Varden, 2021-05-21,8,Simuliidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,4,1,0.881524093
Montana Creek,Dolly Varden, 2021-05-21,8,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,1,0.856243648
Montana Creek,Dolly Varden, 2021-05-21,8,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2.5,1,0.019800744
Montana Creek,Dolly Varden, 2021-05-21,9,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,6,1,0.578378468
Montana Creek,Dolly Varden, 2021-05-21,9,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,10,1,1.391227001
Montana Creek,Dolly Varden, 2021-05-21,12,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,8,1,1.874694396
Montana Creek,Dolly Varden, 2021-05-21,12,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,10,1,3.428151381
Montana Creek,Dolly Varden, 2021-05-21,12,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,5,1,0.254465365
Montana Creek,Dolly Varden, 2021-05-21,12,Pisces,E,Vertebrata,Marine.pisces,Vertebrata,x,x,x,21,1,41.98282412
Montana Creek,Dolly Varden, 2021-05-21,13,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,3,1,0.2555882
Montana Creek,Dolly Varden, 2021-05-21,13,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,2,1,0.018597708
Montana Creek,Dolly Varden, 2021-05-21,13,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,2,1,0.055231849
Montana Creek,Dolly Varden, 2021-05-26,7,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,7,1,1.303048011
Montana Creek,Dolly Varden, 2021-05-26,7,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,3,2,0.20067193
Montana Creek,Dolly Varden, 2021-05-26,7,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,1,0.124738201
Montana Creek,Dolly Varden, 2021-05-26,7,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,1,0.285232064
Montana Creek,Dolly Varden, 2021-05-26,8,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Dolly Varden, 2021-05-26,8,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1.5,1,0.005201197
Montana Creek,Dolly Varden, 2021-05-26,8,Capniidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Capniidae,stoneflies,4,1,0.170873131
Montana Creek,Dolly Varden, 2021-05-26,8,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,2,1.712487296
Montana Creek,Dolly Varden, 2021-05-26,8,Ameletus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ameletidae,mayflies,2.5,1,0.082482054
Montana Creek,Dolly Varden, 2021-05-28,2,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Dolly Varden, 2021-05-28,2,Coleoptera,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,x,beetles,2,1,0.018515414
Montana Creek,Dolly Varden, 2021-05-28,7,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Dolly Varden, 2021-05-28,9,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,25,1,16.22837973
Montana Creek,Dolly Varden, 2021-05-28,10,Glossosomatidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,4,1,0.495116394
Montana Creek,Dolly Varden, 2021-05-28,10,Glossosomatidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,5,3,2.874010695
Montana Creek,Dolly Varden, 2021-05-28,10,Glossosomatidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,6,1,1.642802106
Montana Creek,Dolly Varden, 2021-05-28,10,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,2,0.249476402
Montana Creek,Dolly Varden, 2021-05-28,10,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,1,0.856243648
Montana Creek,Dolly Varden, 2021-05-28,11,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,5,1,0.477246969
Montana Creek,Dolly Varden, 2021-05-28,11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,7,1,2.29521703
Montana Creek,Dolly Varden, 2021-05-28,13,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,40,1,1.161966478
Montana Creek,Dolly Varden, 2021-05-28,13,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,11,1,3.786945489
Montana Creek,Dolly Varden, 2021-05-28,14,Pisces,E,Vertebrata,Marine.pisces,Vertebrata,x,x,x,21,1,41.98282412
Montana Creek,Dolly Varden, 2021-05-28,14,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,7,1,2.29521703
Montana Creek,Dolly Varden, 2021-05-28,14,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,12,1,4.698991774
Montana Creek,Dolly Varden, 2021-05-28,14,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,11,1,4.463412558
Montana Creek,Dolly Varden, 2021-05-28,14,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,14,1,3.428998235
Montana Creek,Dolly Varden, 2021-05-28,14,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,5,0.194404857
Montana Creek,Dolly Varden, 2021-05-28,14,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,4,0.498952805
Montana Creek,Dolly Varden, 2021-05-28,14,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,7,1.996624448
Montana Creek,Dolly Varden, 2021-05-28,14,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5,1,0.5417696
Montana Creek,Dolly Varden, 2021-05-28,14,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,5,1,0.354430665
Montana Creek,Dolly Varden, 2021-05-28,14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Dolly Varden, 2021-05-28,14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6,1,0.195746645
Montana Creek,Dolly Varden, 2021-05-28,14,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,5,1,0.521083892
Montana Creek,Dolly Varden, 2021-05-28,14,Syrphidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Syrphidae,rattail maggots,15,1,5.574712266
Montana Creek,Dolly Varden, 2021-05-28,16,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,5,1,0.477246969
Montana Creek,Dolly Varden, 2021-05-28,17,Pisces,U,Vertebrata,Marine.pisces,Vertebrata,x,x,fish larvae,18,1,10.4017742
Montana Creek,Dolly Varden, 2021-05-28,17,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,18,1,17.07165638
Montana Creek,Dolly Varden, 2021-05-31,3,Salmonid eggs,E,Vertebrata,Marine,Vertebrata,x,x,x,5,1,25.33793808
Montana Creek,Dolly Varden, 2021-05-31,3,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,15,1,0.562311205
Montana Creek,Dolly Varden, 2021-05-31,3,Drunella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,8,2,5.063781428
Montana Creek,Dolly Varden, 2021-05-31,3,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,12,1,5.851922771
Montana Creek,Dolly Varden, 2021-05-31,3,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,18,1,6.726413847
Montana Creek,Dolly Varden, 2021-05-31,3,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,4,1,0.184178316
Montana Creek,Dolly Varden, 2021-05-31,3,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,1,0.325065883
Montana Creek,Dolly Varden, 2021-05-31,3,Pisces,U,Vertebrata,Marine.pisces,Vertebrata,x,x,fish larvae,15,1,5.555510023
Montana Creek,Dolly Varden, 2021-05-31,6,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,60,1,1.568559982
Montana Creek,Dolly Varden, 2021-05-31,6,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,80,1,1.940688338
Montana Creek,Dolly Varden, 2021-05-31,6,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,7,1,1.208784308
Montana Creek,Dolly Varden, 2021-05-31,6,Coleoptera,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,x,beetles,10,1,0.885866022
Montana Creek,Dolly Varden, 2021-05-31,10,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,30,1,0.939158588
Montana Creek,Dolly Varden, 2021-05-31,10,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,5,1,0.477246969
Montana Creek,Dolly Varden, 2021-05-31,10,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,6,1,0.915083479
Montana Creek,Dolly Varden, 2021-06-01,2,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,18,1,6.726413847
Montana Creek,Dolly Varden, 2021-06-01,2,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,1,0.325065883
Montana Creek,Dolly Varden, 2021-06-01,2,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,6,1,0.517090839
Montana Creek,Dolly Varden, 2021-06-01,2,Dolichopodidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Dolichopodidae,long-legged flies,3,1,0.088541011
Montana Creek,Dolly Varden, 2021-06-01,2,Juvenile Salmonid,E,Pisces,Marine.pisces,Vertebrata,x,x,x,6,1,41.98282412
Montana Creek,Dolly Varden, 2021-06-01,2,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,8,1,1.874694396
Montana Creek,Dolly Varden, 2021-06-01,2,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,8,1,1.075624948
Montana Creek,Dolly Varden, 2021-06-01,5,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,1,0.124738201
Montana Creek,Dolly Varden, 2021-06-01,5,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,1,0.325065883
Montana Creek,Dolly Varden, 2021-06-01,5,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,6,4,2.068363354
Montana Creek,Dolly Varden, 2021-06-01,5,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Dolly Varden, 2021-06-01,5,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,3,0.364416692
Montana Creek,Dolly Varden, 2021-06-01,5,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,5,1,0.521083892
Montana Creek,Dolly Varden, 2021-06-01,5,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,1,0.856243648
Montana Creek,Dolly Varden, 2021-06-01,5,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,4,1,0.184178316
Montana Creek,Dolly Varden, 2021-06-01,5,Mycetophilidae,L,insect,Terrestrial,Arthropoda: Insecta,Diptera,Mycetophilidae,fungus gnats,4,1,0.104396396
Montana Creek,Dolly Varden, 2021-06-01,5,Dolichopodidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Dolichopodidae,long-legged flies,3,1,0.088541011
Montana Creek,Dolly Varden, 2021-06-01,10,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,60,1,1.568559982
Montana Creek,Dolly Varden, 2021-06-01,10,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,2.5,1,0.13469471
Montana Creek,Dolly Varden, 2021-06-01,10,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,9,1,2.516826462
Montana Creek,Dolly Varden, 2021-06-01,10,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,10,1,0.416551982
Montana Creek,Dolly Varden, 2021-06-01,10,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,1,0.325065883
Montana Creek,Dolly Varden, 2021-06-01,10,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,6,1,0.517090839
Montana Creek,Dolly Varden, 2021-06-01,10,Ameletus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ameletidae,mayflies,3,1,0.13221494
Montana Creek,Dolly Varden, 2021-06-01,16,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Dolly Varden, 2021-06-01,16,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.031907945
Montana Creek,Dolly Varden, 2021-06-01,16,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Dolly Varden, 2021-06-01,16,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Dolly Varden, 2021-06-01,16,Ameletus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ameletidae,mayflies,2,1,0.046297374
Montana Creek,Dolly Varden, 2021-06-01,16,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,2,5,0.36427584
Montana Creek,Dolly Varden, 2021-06-01,16,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,3,1,0.222543898
Montana Creek,Dolly Varden, 2021-06-01,16,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,4,1,0.184178316
Montana Creek,Dolly Varden, 2021-06-01,16,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,2,1,0.018435656
Montana Creek,Dolly Varden, 2021-06-01,16,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,3,1,0.055520162
Montana Creek,Dolly Varden, 2021-06-01,16,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,5,1,0.249406064
Montana Creek,Dolly Varden, 2021-06-01,16,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,6,1,0.285430995
Montana Creek,Dolly Varden, 2021-06-01,16,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,9,1,0.385308565
Montana Creek,Dolly Varden, 2021-06-01,16,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,5,1,0.521083892
Montana Creek,Dolly Varden, 2021-06-01,18,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,5,1,0.354430665
Montana Creek,Dolly Varden, 2021-06-01,18,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,3.5,1,0.08442655
Montana Creek,Dolly Varden, 2021-06-01,18,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2.5,1,0.019800744
Montana Creek,Dolly Varden, 2021-06-01,18,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,3,0.203228568
Montana Creek,Dolly Varden, 2021-06-01,18,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1.5,1,0.032989754
Montana Creek,Dolly Varden, 2021-06-01,18,Brachycera,L,insect,Terrestrial,Arthropoda: Insecta,Diptera,x,higher flies,4,1,0.144207261
