Fish_ID_comp,Date,Fish_ID_day,Trap,Habitat,PIT_tag,Species,FL,TL,Weight,Diet,Fin Clip,Pink_Salmon_pres_abs
125,5/21/2021,21,,Main_Side,NA,Dolly Varden,89,93,6.6,N,N,0
126,5/21/2021,22,,Main_Side,NA,Dolly Varden,85,90,5.2,N,N,0
127,5/21/2021,23,,Main_Side,NA,Dolly Varden,80,83,4.3,N,N,0
128,5/21/2021,24,,Seep,NA,Coho,57,61,2,Y,N,0
129,5/21/2021,25,,Seep,NA,Coho,50,54,1.4,Y,N,0
130,5/21/2021,26,,Seep,NA,Coho,52,56,1.4,Y,N,0
131,5/21/2021,27,,Seep,NA,Coho,61,66,2.3,Y,N,0
132,5/21/2021,28,,Seep,NA,Coho,62,67,2.5,Y,N,0
133,5/21/2021,29,,Seep,NA,Coho,53,56,1.6,Y,N,0
134,5/21/2021,30,,Seep,NA,Coho,55,59,2.3,N,N,0
135,5/21/2021,31,,Seep,NA,Coho,47,51,1.2,N,N,0
136,5/21/2021,32,,Seep,NA,Dolly Varden,52,53,1.4,N,N,0
137,5/21/2021,33,,Seep,NA,Dolly Varden,47,48,1.1,N,N,0
138,5/26/2021,1,,Main_Side,NA,Coho,45,48,0.9,Y,N,0
139,5/26/2021,2,,Main_Side,93DDF40,Coho,85,92,5.9,Y,N,0
140,5/26/2021,3,,Main_Side,NA,Coho,62,68,2.2,Y,N,0
141,5/26/2021,4,,Main_Side,NA,Coho,53,58,1.5,Y,N,0
142,5/26/2021,5,,Main_Side,NA,Coho,55,61,1.7,Y,N,0
143,5/26/2021,6,,Main_Side,NA,Dolly Varden,54,56,1.4,Y,N,0
144,5/26/2021,7,,Main_Side,NA,Dolly Varden,62,65,2.1,Y,N,0
145,5/26/2021,8,,Main_Side,NA,Dolly Varden,50,52,1.7,Y,N,0
146,5/26/2021,9,,Main_Side,NA,Coho,51,55,1.7,Y,N,0
147,5/26/2021,10,,Main_Side,NA,Coho,61,66,2.1,Y,N,0
148,5/26/2021,11,,Main_Side,NA,Coho,60,64,2.2,Y,N,0
149,5/26/2021,12,,Main_Side,NA,Coho,53,57,1.6,Y,N,0
150,5/26/2021,13,,Seep,NA,Coho,54,57,1.5,Y,N,0
151,5/26/2021,14,,Seep,NA,Coho,60,64,1.8,Y,N,0
152,5/26/2021,15,,Seep,NA,Coho,56,60,1.8,Y,N,0
153,5/26/2021,16,,Seep,NA,Coho,51,56,1.5,Y,N,0
154,5/28/2021,1,,Seep,NA,Coho,62,67,2.9,Y,N,0
155,5/28/2021,2,,Seep,NA,Dolly Varden,46,47,0.8,Y,N,0
156,5/28/2021,3,,Seep,NA,Coho,59,63,2.3,Y,N,0
157,5/28/2021,4,,Seep,NA,Dolly Varden,48,50,1.5,Y,N,0
158,5/28/2021,5,,Seep,NA,Coho,52,57,1.7,Y,N,0
159,5/28/2021,6,,Seep,NA,Coho,52,55,1.9,Y,N,0
160,5/28/2021,7,,Seep,NA,Dolly Varden,48,49,1.2,Y,N,0
161,5/28/2021,8,,Main_Side,NA,Cutthroat,96,102,8,Y,N,0
162,5/28/2021,9,,Main_Side,93DDF05,Dolly Varden,184,190,49.3,Y,N,0
163,5/28/2021,10,,Main_Side,NA,Dolly Varden,103,108,10.6,Y,N,0
164,5/28/2021,11,,Main_Side,NA,Dolly Varden,85,90,5.4,Y,N,0
165,5/28/2021,12,,Main_Side,NA,Cutthroat,102,107,8.2,Y,N,0
166,5/28/2021,13,,Main_Side,NA,Dolly Varden,97,103,7.9,Y,N,0
167,5/28/2021,14,,Main_Side,NA,Dolly Varden,85,90,5.8,Y,N,0
168,5/28/2021,15,,Main_Side,NA,Coho,65,70,2.8,Y,N,0
169,5/28/2021,16,,Main_Side,NA,Dolly Varden,81,85,5.8,Y,N,0
170,5/28/2021,17,,Main_Side,NA,Dolly Varden,93,97,6.5,Y,N,0
171,5/28/2021,18,,Main_Side,NA,Dolly Varden,86,91,5.8,N,N,0
172,5/28/2021,19,,Main_Side,NA,Dolly Varden,81,85,5,N,N,0
173,5/28/2021,20,,Main_Side,NA,Dolly Varden,76,81,4.8,N,N,0
174,5/28/2021,21,,Main_Side,NA,Coho,64,70,2.6,Y,N,0
175,5/28/2021,22,,Main_Side,NA,Coho,51,55,0.9,Y,N,0
176,5/28/2021,23,,Main_Side,NA,Coho,59,63,2.1,Y,N,0
177,5/28/2021,24,,Main_Side,NA,Coho,55,59,1.7,Y,N,0
178,5/28/2021,25,,Main_Side,NA,Dolly Varden,82,86,5.1,N,N,0
179,5/28/2021,26,,Main_Side,NA,Cutthroat,154,163,29.6,Y,N,0
180,5/31/2021,1,,Main_Side,NA,Sculpin,NA,91,8,N,N,0
181,5/31/2021,2,,Main_Side,NA,Sculpin,NA,94,8.3,N,N,0
182,5/31/2021,3,,Main_Side,NA,Dolly Varden,105,111,11.5,Y,N,0
183,5/31/2021,4,,Main_Side,NA,Cutthroat,91,95,7.1,Y,N,0
184,5/31/2021,5,,Main_Side,NA,Cutthroat,93,97,7.2,Y,N,0
185,5/31/2021,6,,Main_Side,NA,Dolly Varden,101,105,10.7,Y,N,0
186,5/31/2021,7,,Main_Seep,NA,Coho,47,51,0.8,Y,N,0
187,5/31/2021,8,,Main_Seep,NA,Dolly Varden,91,96,7,Y,N,0
188,5/31/2021,9,,Main_Seep,NA,Coho,64,69,2.9,Y,N,0
189,5/31/2021,10,,Main_Seep,NA,Dolly Varden,85,89,6,Y,N,0
190,5/31/2021,11,,Main_Seep,NA,Coho,55,59,2,Y,N,0
191,6/1/2021,1,1,Main_Side,93DDF25,Cutthroat,136,144,21.6,Y,N,0
192,6/1/2021,2,1,Main_Side,93DDF08,Dolly Varden,95,101,9,Y,N,0
193,6/1/2021,3,1,Main_Side,NA,Sculpin,NA,90,8.5,Y,N,0
194,6/1/2021,4,1,Main_Side,NA,Sculpin,NA,98,11.2,Y,N,0
195,6/1/2021,5,1,Main_Side,NA,Dolly Varden,72,76,3.8,Y,N,0
196,6/1/2021,6,1,Main_Side,NA,Coho,55,59,2.3,Y,N,0
197,6/1/2021,7,1,Main_Side,NA,Coho,71,77,3.7,Y,N,0
198,6/1/2021,8,1,Main_Side,93DDF23,Cutthroat,134,142,21.7,Y,N,0
199,6/1/2021,9,1,Main_Side,NA,Coho,60,64,1.9,Y,N,0
200,6/1/2021,10,1,Main_Side,NA,Dolly Varden,75,79,4.6,Y,N,0
201,6/1/2021,11,2,Main_Side,NA,Coho,68,74,3.2,Y,N,0
202,6/1/2021,12,2,Main_Side,NA,Cutthroat,91,96,6.4,Y,N,0
203,6/1/2021,13,2,Main_Side,NA,Sculpin,NA,115,16.2,Y,N,0
204,6/1/2021,14,3,Main_Side,NA,Coho,55,59,1.8,Y,N,0
205,6/1/2021,15,3,Main_Side,NA,Coho,55,59,1.8,Y,N,0
206,6/1/2021,16,3,Main_Side,NA,Dolly Varden,49,51,0.7,Y,N,0
207,6/1/2021,17,3,Main_Side,NA,Coho,56,60,2,Y,N,0
208,6/1/2021,18,3,Main_Side,NA,Dolly Varden,46,48,0.5,Y,N,0
209,6/1/2021,19,3,Main_Side,NA,Dolly Varden,52,54,1.4,Y,N,0
210,6/1/2021,20,4,Seep,NA,Coho,63,68,3,Y,N,0
211,6/1/2021,21,4,Seep,NA,Coho,60,65,2.2,Y,N,0
212,6/1/2021,22,4,Seep,NA,Coho,54,58,1.7,Y,N,0
213,6/1/2021,23,4,Seep,NA,Coho,52,56,1.8,Y,N,0
214,6/1/2021,24,4,Seep,NA,Coho,56,60,2.1,Y,N,0
215,6/1/2021,25,4,Seep,NA,Coho,69,74,3.7,Y,N,0
216,6/1/2021,26,4,Seep,NA,Coho,49,54,1.3,Y,N,0
217,6/4/2021,1,1,Seep,NA,Coho,52,56,1.7,Y,N,0
218,6/4/2021,2,1,Seep,NA,Coho,53,57,1.5,Y,N,0
219,6/4/2021,3,1,Seep,NA,Coho,60,65,2.4,Y,N,0
220,6/4/2021,4,1,Seep,NA,Coho,72,77,3.3,Y,N,0
221,6/4/2021,5,1,Seep,NA,Coho,60,65,1.9,Y,N,0
222,6/4/2021,6,1,Seep,NA,Coho,50,54,1.4,Y,N,0
223,6/4/2021,7,1,Seep,NA,Coho,59,64,2.6,Y,N,0
224,6/4/2021,8,1,Seep,NA,Coho,55,59,1.7,Y,N,0
225,6/4/2021,9,1,Seep,NA,Coho,55,60,2.1,Y,N,0
226,6/4/2021,10,1,Seep,NA,Dolly Varden,48,50,1.2,N,N,0
227,6/4/2021,11,1,Seep,NA,Dolly Varden,57,59,2.3,N,N,0
228,6/4/2021,12,1,Seep,NA,Dolly Varden,49,50,2,N,N,0
229,6/4/2021,13,2,Main_Side,NA,Dolly Varden,98,103,9.4,Y,N,0
230,6/4/2021,14,2,Main_Side,NA,Dolly Varden,53,55,1.5,Y,N,0
231,6/4/2021,15,2,Main_Side,NA,Dolly Varden,109,116,12.6,Y,N,0
232,6/4/2021,16,4,Main_Side,NA,Coho,55,60,1.7,Y,N,0
233,6/4/2021,17,4,Main_Side,NA,Coho,55,59,1.7,Y,N,0
234,6/4/2021,18,4,Main_Side,NA,Dolly Varden,47,48,1.1,Y,N,0
235,6/4/2021,19,4,Main_Side,NA,Dolly Varden,49,50,1.2,Y,N,0
236,6/4/2021,20,4,Main_Side,NA,Coho,48,51,1,Y,N,0
237,6/9/2021,1,8,Seep,NA,Dolly Varden,39,42,1.2,Y,N,0
238,6/9/2021,2,8,Seep,NA,Dolly Varden,39,40,0.8,Y,N,0
239,6/9/2021,3,8,Seep,NA,Coho,58,61,1.8,Y,N,0
240,6/9/2021,4,8,Seep,NA,Dolly Varden,59,61,1.9,Y,N,0
241,6/9/2021,5,8,Seep,NA,Coho,54,50,1.2,Y,N,0
242,6/9/2021,6,8,Seep,NA,Coho,62,67,2.5,Y,N,0
243,6/9/2021,7,7,Seep,NA,Coho,70,75,3.3,Y,N,0
244,6/9/2021,8,7,Seep,NA,Dolly Varden,74,78,4,Y,N,0
245,6/9/2021,9,7,Seep,NA,Coho,63,67,2,Y,N,0
246,6/9/2021,10,1,Main_Side,NA,Cutthroat,146,156,25.7,Y,N,0
247,6/9/2021,11,1,Main_Side,NA,Dolly Varden,83,87,5.2,Y,N,0
248,6/9/2021,12,1,Main_Side,NA,Dolly Varden,77,82,4.8,Y,N,0
249,6/9/2021,13,1,Main_Side,NA,Coho,57,61,2,Y,N,0
250,6/9/2021,14,1,Main_Side,NA,Coho,65,70,1.8,Y,N,0
251,6/9/2021,15,1,Main_Side,NA,Coho,60,65,2.3,Y,N,0
252,6/9/2021,16,1,Main_Side,NA,Coho,56,60,1.6,Y,N,0
253,6/9/2021,17,4,Main_Side,NA,Dolly Varden,99,106,10.5,Y,N,0
254,6/9/2021,18,4,Main_Side,NA,Dolly Varden,92,98,6.8,Y,N,0
255,6/9/2021,19,4,Main_Side,NA,Dolly Varden,98,105,8.8,Y,N,0
256,6/9/2021,20,4,Main_Side,NA,Dolly Varden,89,95,7.3,Y,N,0
257,6/9/2021,21,4,Main_Side,NA,Dolly Varden,85,89,5.8,Y,N,0
258,6/9/2021,22,4,Main_Side,NA,Dolly Varden,81,85,5.3,N,N,0
259,6/9/2021,23,5,Main_Side,NA,Sculpin,NA,101,11.7,Y,N,0
260,6/9/2021,24,5,Main_Side,NA,Sculpin,NA,77,4.6,Y,N,0
261,6/9/2021,25,5,Main_Side,NA,Dolly Varden,110,118,12.7,Y,N,0
262,6/9/2021,26,5,Main_Side,NA,Dolly Varden,103,109,10.9,Y,N,0
263,6/9/2021,27,5,Main_Side,NA,Dolly Varden,83,87,5.2,N,N,0
264,6/9/2021,28,5,Main_Side,NA,Cutthroat,96,101,8.6,Y,N,0
265,6/9/2021,29,5,Main_Side,NA,Cutthroat,95,100,8.4,Y,N,0
266,6/9/2021,30,6,Seep,NA,Sculpin,NA,93,7.7,Y,N,0
267,6/9/2021,31,6,Seep,NA,Dolly Varden,57,60,1.4,N,N,0
268,6/9/2021,32,6,Seep,NA,Coho,61,67,2.4,Y,N,0
269,6/9/2021,33,6,Seep,NA,Coho,55,59,1.5,Y,N,0
270,6/10/2021,1,4,Seep,NA,Coho,59,63,1.8,Y,N,0
271,6/10/2021,2,4,Seep,NA,Dolly Varden,85,89,5.2,N,N,0
272,6/10/2021,3,4,Seep,NA,Coho,60,65,2.2,Y,N,0
273,6/10/2021,4,4,Seep,NA,Cutthroat,NA,170,37.2,N,N,0
274,6/10/2021,5,4,Seep,NA,Dolly Varden,69,71,2.8,N,N,0
275,6/10/2021,6,4,Seep,NA,Cutthroat/Steelhead,85,88,6.1,Y,N,0
276,6/10/2021,7,3,Main_Side,NA,Dolly Varden,54,55,1.3,N,N,0
277,6/10/2021,8,3,Main_Side,NA,Coho,69,75,3.6,Y,N,0
278,6/10/2021,9,3,Main_Side,NA,Coho,60,65,2.4,Y,N,0
279,6/10/2021,10,3,Main_Side,NA,Coho,68,73,3.1,Y,N,0
280,6/10/2021,11,3,Main_Side,NA,Dolly Varden,64,66,2.3,N,N,0
281,6/10/2021,12,3,Main_Side,NA,Coho,57,61,2,Y,N,0
282,6/10/2021,13,3,Main_Side,NA,Coho,59,63,2.2,Y,N,0
283,6/10/2021,14,2,Main_Side,NA,Coho,83,89,6.3,Y,N,0
284,6/10/2021,15,2,Main_Side,NA,Cutthroat/Steelhead,105,111,9.9,Y,N,0
285,6/10/2021,16,2,Main_Side,NA,Cutthroat/Steelhead,133,138,20.5,Y,N,0
286,6/10/2021,17,2,Main_Side,NA,Dolly Varden,52,54,0.9,N,N,0
287,6/10/2021,18,2,Main_Side,NA,Cutthroat/Steelhead,99,103,8.3,Y,N,0
288,6/10/2021,19,2,Main_Side,NA,Dolly Varden,52,54,1.3,N,N,0
289,6/10/2021,20,1,Seep,NA,Cutthroat,138,144,20.4,Y,N,0
290,6/10/2021,21,1,Seep,NA,Coho,58,62,2,N,N,0
291,6/10/2021,22,1,Seep,NA,Dolly Varden,79,83,4.6,N,N,0
292,6/10/2021,23,1,Seep,NA,Coho,65,71,3.2,N,N,0
293,6/10/2021,24,1,Seep,NA,Cutthroat,93,98,7.4,Y,N,0
294,6/10/2021,25,1,Seep,NA,Coho,61,67,2.6,N,N,0
295,6/10/2021,26,1,Seep,NA,Dolly Varden,85,89,5.5,N,N,0
296,6/10/2021,27,1,Seep,NA,Dolly Varden,102,107,10.5,N,N,0
297,6/10/2021,28,1,Seep,NA,Dolly Varden,85,89,5.5,N,N,0
298,6/10/2021,29,1,Seep,NA,Dolly Varden,87,92,6.8,N,N,0
299,6/10/2021,30,1,Seep,NA,Dolly Varden,53,55,1.4,N,N,0
300,6/10/2021,31,1,Seep,NA,Coho,74,77,4.6,Y,N,0
301,6/10/2021,32,1,Seep,NA,Dolly Varden,57,59,2,N,N,0
302,6/10/2021,33,1,Seep,NA,Dolly Varden,57,59,1.5,N,N,0
303,6/10/2021,34,1,Seep,NA,Coho,55,61,1.7,N,N,0
304,6/10/2021,35,1,Seep,NA,Dolly Varden,53,54,1.2,N,N,0
305,6/15/2021,1,1,Main_Side,NA,Coho,33,34,0.2,N,N,0
306,6/15/2021,2,1,Main_Side,NA,Coho,35,36,0.3,N,N,0
307,6/15/2021,3,1,Main_Side,NA,Coho,36,38,0.3,N,N,0
308,6/15/2021,4,1,Main_Side,NA,Coho,38,39,0.4,N,N,0
309,6/15/2021,5,1,Main_Side,NA,Coho,33,35,0.3,N,N,0
310,6/15/2021,6,1,Main_Side,NA,Coho,35,36,0.4,N,N,0
311,6/15/2021,7,1,Main_Side,NA,Coho,33,34,0.3,N,N,0
312,6/15/2021,8,1,Main_Side,NA,Coho,37,38,0.4,N,N,0
313,6/15/2021,9,1,Main_Side,NA,Coho,33,34,0.3,N,N,0
314,6/15/2021,10,1,Main_Side,NA,Coho,32,33,0.2,N,N,0
315,6/15/2021,11,1,Main_Side,NA,Coho,34,35,0.3,N,N,0
316,6/15/2021,12,1,Main_Side,NA,Coho,34,35,0.3,N,N,0
317,6/15/2021,13,1,Main_Side,NA,Coho,34,35,0.3,N,N,0
318,6/15/2021,14,1,Main_Side,NA,Coho,35,36,0.3,N,N,0
319,6/15/2021,15,2,Seep,NA,Cutthroat/Steelhead,88,93,7.3,Y,N,0
320,6/15/2021,16,2,Seep,NA,Dolly Varden,58,60,2.2,Y,N,0
321,6/15/2021,17,2,Seep,NA,Dolly Varden,40,42,0.9,Y,N,0
322,6/15/2021,18,3,Seep,NA,Cutthroat,128,134,20.4,Y,N,0
323,6/15/2021,19,4,Main_Side,NA,Sculpin,NA,95,8.7,Y,N,0
324,6/15/2021,20,4,Main_Side,NA,Coho,55,60,2.2,Y,N,0
325,6/15/2021,21,4,Main_Side,NA,Dolly Varden,55,57,1.8,Y,N,0
326,6/15/2021,22,4,Main_Side,NA,Coho,61,66,2.6,Y,N,0
327,6/15/2021,23,4,Main_Side,NA,Coho,59,64,2.2,Y,N,0
328,6/15/2021,24,5,Main_Side,NA,Sculpin,NA,92,8.1,Y,N,0
329,6/15/2021,25,6,Main_Side,NA,Coho,57,61,2.2,Y,N,0
330,6/15/2021,26,6,Main_Side,NA,Coho,71,77,4.2,Y,N,0
331,6/15/2021,27,7,Main_Side,NA,Dolly Varden,56,58,1.9,Y,N,0
332,6/15/2021,28,7,Main_Side,NA,Dolly Varden,62,65,2.4,Y,N,0
