Waterbody,Habitat,Fish.species,Sample.code,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Length,Abundance,Biomass
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Perlodidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,7,1,4.069254918
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,5,1,0.222667828
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,3,1,0.055520162
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,3,1,0.129596017
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.063815889
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,3,0.203228568
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,5,1,0.216938473
Montana Creek,Mainstem/Side Channel,Coho,#3, 2021-05-11,Ephemeroptera,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,x,mayflies,3,1,0.159391714
Montana Creek,Mainstem/Side Channel,Coho,#11, 2021-05-11,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,3,1,0.05515185
Montana Creek,Mainstem/Side Channel,Coho,#11, 2021-05-11,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,5,1,0.216938473
Montana Creek,Mainstem/Side Channel,Coho,#11, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,1,0.0018
Montana Creek,Mainstem/Side Channel,Coho,#11, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Mainstem/Side Channel,Coho,#11, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,4,1,0.121383358
Montana Creek,Mainstem/Side Channel,Coho,#12, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,6,2,0.731107563
Montana Creek,Mainstem/Side Channel,Coho,#12, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Mainstem/Side Channel,Coho,#12, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.088851081
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,1,0.0018
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,3,0.033127545
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.063815889
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,1,0.038880971
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,2,0.249476402
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,1,0.021
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.088851081
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,6,1,0.578378468
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,5,2,0.445335656
Montana Creek,Mainstem/Side Channel,Coho,#15, 2021-05-11,Ephemeroptera,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,x,mayflies,2,1,0.050556302
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,5,2,0.445335656
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,6,4,1.462215127
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,9,0.287171501
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,5,1,0.254465365
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,7,1,0.700842119
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,3,1,0.089876375
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,4,1,0.194639506
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.063815889
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,3,0.203228568
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,3,2,0.110303699
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,4,1,0.491469953
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,4,1,0.28374275
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,5,1,0.477246969
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.206589681
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,5,1,0.448889053
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,2,0.077761943
Montana Creek,Mainstem/Side Channel,Coho,#14, 2021-05-11,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,3,1,0.150971825
Montana Creek,Mainstem/Side Channel,Coho,#1, 2021-05-11,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,6,2,0.417085836
Montana Creek,Mainstem/Side Channel,Coho,#1, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,1,0.0018
Montana Creek,Mainstem/Side Channel,Coho,#1, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,1,0.0018
Montana Creek,Mainstem/Side Channel,Coho,#1, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,4,0.044170061
Montana Creek,Mainstem/Side Channel,Coho,#1, 2021-05-11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,6,1,1.501247506
Montana Creek,Mainstem/Side Channel,Coho,#1, 2021-05-11,Staphylinidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Staphylinidae,rove beetles,1,3,0.0402
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,6,2,0.707377914
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,5,2,0.445335656
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1,1,0.0108
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,3,0.095723834
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,3,0.116642914
Montana Creek,Mainstem/Side Channel,Coho,#18, 2021-05-11,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,2,1,0.055231849
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,6,0.066255091
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,3,0.095723834
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,2,0.242944461
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,3,0.266553243
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.206589681
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.375929266
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,5,2,0.445335656
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,6,3,1.096661345
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,7,2,1.111756297
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Trichoptera,A,insect,Aquatic,Arthropoda: Insecta,Trichoptera,x,caddisflies,6,1,1.805671012
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,5,1,0.535896358
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,1,0.856243648
Montana Creek,Mainstem/Side Channel,Coho,#13, 2021-05-11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,2,1,0.072855168
Montana Creek,Mainstem/Side Channel,Coho,#17, 2021-05-11,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,6,1,0.440598902
Montana Creek,Mainstem/Side Channel,Coho,#17, 2021-05-11,Dixidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Dixidae,dixid midges,5,1,0.121472231
Montana Creek,Mainstem/Side Channel,Coho,#17, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,4,0.355404324
Montana Creek,Mainstem/Side Channel,Coho,#17, 2021-05-11,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,2,1,0.037986814
Montana Creek,Mainstem/Side Channel,Coho,#17, 2021-05-11,Coleoptera,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,x,beetles,5,1,0.167456749
Montana Creek,Mainstem/Side Channel,Coho,#17, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,2,0.02208503
Montana Creek,Mainstem/Side Channel,Coho,#17, 2021-05-11,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,1,0.038880971
Montana Creek,Seep,Coho,#4, 2021-05-14,Chilopoda,U,non-insect,Terrestrial,Arthropoda: Chilopoda,miscellaneous non-insect,x,centipedes,9,1,1.243843642
Montana Creek,Seep,Coho,#4, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Seep,Coho,#4, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.031907945
Montana Creek,Seep,Coho,#4, 2021-05-14,Staphylinidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Staphylinidae,rove beetles,4,1,0.307440005
Montana Creek,Seep,Coho,#4, 2021-05-14,Staphylinidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Staphylinidae,rove beetles,5,1,0.509069418
Montana Creek,Seep,Coho,#4, 2021-05-14,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,4,2,0.259933722
Montana Creek,Seep,Coho,#4, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.031907945
Montana Creek,Seep,Coho,#4, 2021-05-14,Pisces,U,Vertebrata,Marine.pisces,Vertebrata,x,x,fish larvae,14,1,4.381778772
Montana Creek,Seep,Coho,#5, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,5,0.055212576
Montana Creek,Seep,Coho,#5, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.063815889
Montana Creek,Seep,Coho,#5, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,2,0.135485712
Montana Creek,Seep,Coho,#5, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Seep,Coho,#5, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,2,0.177702162
Montana Creek,Seep,Coho,#5, 2021-05-14,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,1,0.325065883
Montana Creek,Seep,Coho,#5, 2021-05-14,Araneae,U,non-insect,Terrestrial,Arthropoda: Arachnida,x,x,spiders,2,1,0.208837998
Montana Creek,Seep,Coho,#5, 2021-05-14,Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,x,springtails,2,5,0.153379568
Montana Creek,Seep,Coho,#5, 2021-05-14,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,6,1,0.766262564
Montana Creek,Seep,Coho,#5, 2021-05-14,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,2,1,0.013841497
Montana Creek,Seep,Coho,#6, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.031907945
Montana Creek,Seep,Coho,#6, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Seep,Coho,#6, 2021-05-14,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,7,1,0.305131518
Montana Creek,Seep,Coho,#6, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Seep,Coho,#6, 2021-05-14,Pseudoscorpionida,U,non-insect,Terrestrial,Arthropoda: Pseudoscorpionida,miscellaneous non-insect,x,pseudoscorpions,3,1,0.335550414
Montana Creek,Seep,Coho,#6, 2021-05-14,Glossosomatidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,7,1,2.591873819
Montana Creek,Seep,Coho,#6, 2021-05-14,Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,x,springtails,1,2,0.0048
Montana Creek,Seep,Coho,#6, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,3,0.266553243
Montana Creek,Seep,Coho,#7, 2021-05-14,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,9,1,2.516826462
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.063815889
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,13,0.880657128
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,6,0.728833383
Montana Creek,Seep,Coho,#7, 2021-05-14,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,6,1,0.517090839
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,4,0.355404324
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,1,0.206589681
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.375929266
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,3,0.095723834
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Seep,Coho,#7, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,7,1,0.293017849
Montana Creek,Seep,Coho,#7, 2021-05-14,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,1,0.038880971
Montana Creek,Seep,Coho,#7, 2021-05-14,Drunella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,5,1,0.497954677
Montana Creek,Seep,Coho,#9, 2021-05-14,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,6,1,0.208542918
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,1,0.021
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.088851081
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,4,0.826358725
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,5,0.055212576
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,8,0.255263556
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,5,0.055212576
Montana Creek,Seep,Coho,#9, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,4,0.127631778
Montana Creek,Seep,Coho,#9, 2021-05-14,Nemouridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,2,1,0.037986814
Montana Creek,Seep,Coho,#9, 2021-05-14,Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,x,springtails,1,1,0.0024
Montana Creek,Mainstem,Coho,#12, 2021-05-14,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.088851081
Montana Creek,Mainstem,Coho,#12, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Mainstem,Coho,#12, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.063815889
Montana Creek,Mainstem,Coho,#13, 2021-05-14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
